产品ID,产品型号 ,屏幕尺寸(对角),屏幕宽高比,面板类型,点距（H×V）mm,画面尺寸（H×V）mm,亮度(典型值),动态对比度(典型值),对比度(典型值),响应时间(典型值),可视角度(水平/垂直),分辨率,扫描频率,显示颜色,HDCP功能,接口,喇叭,额定电源,消耗功率,认证,外壳颜色,壁挂,支架,显示器(含支架/底座)（W×H×D）mm,显示器(不含支架/底座)（W×H×D）mm,包装箱（W×H×D）mm,净重(含支架/底座),净重(不含支架/底座),毛重(含包装),包装清单,图片列表,Size 尺寸,Chipset 方案,拼接缝隙,光源,亮度,对比度,反应时间,像素点距,可视角度,寿命,色饱和度 ,可视面积,色彩度 ,电压,最大功率,待机功率 ,工作温度,储藏温度,储藏湿度,工作湿度,显示模式,最长使用时间(小时/天),HDMI 输入接口 ,DVI 输入接口,VGA 输入接口,PC_AUDIO 输入接口,Y PB PR 输入接口,S-VIDEO 输入接口,VIDEO 输入接口,AUDIO 输入接口,USB 输入接口,VIDEO 输出接口,AUDIO 输出接口,RS232,净重,毛重,裸机外形尺寸 (W x D x H),包装尺寸 (W x D x H),外壳材料,面框宽度 (T/B/L/R) ,孔位,OSD,遥控器,电源线 ,RS232 信号连接线,合格证,说明书,保修卡,功能,尺寸,系统版本,处理器,RAM 内部缓存容量,解码分辨率,面板,触摸式屏幕,钢化玻璃,玻璃透光率,插值分辨率,可触精密度,输出,可触直径,多点触控操作系统,单点触控操作系统,视频格式,图片格式,菜单语言,面板型号,最大分辨率,屏亮度,色彩度,可视角,色饱和度,储存温度,储存湿度,待机功率,内部喇叭,HDMI-IN,HDMI  OPS(option),DVI IN,VGA-IN,PC-AUDID IN,YPBPR,LAN,AV-IN,AV-OUT,COAXIAL,EARPHONE,SPDIF,TV,MEDIA-USB,PC-USB,TOUCH-USB,RS232-IN,RS232 OUT,外壳材料（面框/后壳）,外壳颜色（面框/后壳）,裸机外形尺寸(W*D*H),包装尺寸(W*D*H),面框宽度(T/B/L/R),VESA 孔位,电源线,触摸笔,连接线,挂墙件,书写软件 ,AG 防眩光玻璃,Miracast 无线传屏（选配）,可移动支架（选配）,发射器（选配）
32,E2250SD,"22""W",,,0.282mm(H)x 0.282mm(V),473.76 x296.1 mm,250cd/m2,,20000000:1 (动态）,5ms,170°/160°(CR≥10),1680x 1050  @60Hz,"水平: 30k - 83kHz
垂直: 50 - 76Hz",16.7M,有,D-Sub  15-pin & 24-pin DVI-D            ,无,"100-240VAC, 50/60Hz, 1.5A","正常工作:25W（典型值）;
待机:<0.5W","CE,CECP,cCSAus,FCC,EPEAT Silver,CCC,EPA Win7,china RoHs,CSC",黑色,VESA 75mm×75mm,,508.74(W) x 408.48(H) x 190(D),,562(W)x420(H)x109(D)mm,,3.77Kg,4.62Kg,,"['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,A2272PWRP/BW,"21.5""W",16:9,IPS技术,0.24825(H)x0.24825(V)mm,476.6(H)x268.11(V)mm,250 cd/m²  ,50000000:1,1000:1,5ms GtG,178°/178°(CR>10),1920x1080@60Hz,"水平: 30k - 83kHz
垂直: 50 - 76Hz",16.7M,有,"• D-Sub×1,HDMI×1
• USB 2.0×4
• Micro USB (支持OTG功能)
• RJ45以太网接口(10/100Mbps) 
• 音频输入
• 音频输出(耳麦接口)
• SD卡插槽",2Wx2,"20Vdc, 3.25A","正常工作:20W（典型值）;
待机:≤0.5W(D-SUB/HDMI); 
≤5W(Android)","CCC，CH RoHS，CEL，CECP，Win10, SRRC",黑色/白色,VESA 75mm×75mm,"倾斜: 15°-57°
垂直旋转: 无
高度调整: 无
左右旋转: 无",521.9(W)x322.5(H)x44.3(D)mm,,587(W)x410(H)x117(D)mm,3.87kg,,5.48kg,"智能一体机
说明书
保修证书
一体机支架
电源线
电源适配器
D-SUB信号线
音频线
USB(上行)线","['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,I2490VXH/BS,"23.8""W",16:9,AH-IPS,0.2745(H)x0.2745(V)mm,527.04(H)x296.46(V)mm ,250 cd/m²  ,20000000:1,1000:1,5ms GtG,178°/178°(CR≥10),1920x1080@60Hz,"水平: 30k - 83kHz    
垂直: 50 - 76Hz",16.7M,有,"D-Sub,HDMI,音频输出",无,"100-240VAC, 50/60Hz , 1.5A","正常工作:21W（典型值）;
待机:≤0.5W",CCC，CH RoHS，CEL，CECP，Win10,银色/黑色,VESA 100mm×100mm,"倾斜: -5°-23°
垂直旋转: 无
高度调整: 无
左右旋转: 无",540.5(W)x412(H)x200(D)mm,540.5(W)x321(H)x46(D)mm,620(W)x420(H)x182(D)mm,3.48kg,2.88kg,4.95kg,"液晶显示器
简易说明书
保修证书
显示器底座/支架
电源线
HDMI信号线","['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Q2490PXQ,"23.8""W",16:9,IPS技术,0.2058(H)x0.2058(V)mm,526.85(H)x296.35(V)mm ,250cd/m²,50000000:1,1000:1,5ms GtG,178°/178°(CR>10),"1920x1080@60Hz (D-SUB)
2560x1440@60Hz (HDMI,DP)   ","水平: 
30k - 83kHz (D-SUB)
30k - 99kHz (HDMI,DP)
垂直: 
50 - 76Hz",16.7M,有,"D-Sub,HDMIx2,DP,音频输出",无,"100-240VAC, 50/60Hz , 1.5A","正常工作:30W（典型值）;
待机:≤0.5W","CCC，CH RoHS，CEL，CECP，Win10, 中国环境标志",黑色,VESA 100mm×100mm,"倾斜: -5°-23°
垂直旋转: 90°
高度调整: 130mm
左右旋转: +/-45°",539(W)x(383~513)(H)x200(D)mm,539(W)x321(H)x43(D)mm,608(W)x405(H)x208(D)mm,4.85kg,3.25kg,6.4kg,"液晶显示器
简易说明书
保修证书
显示器底座/支架
电源线
HDMI信号线","['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,9E1H,"18.5""W",16:9,TN,0.3(H)x0.3(V)mm,409.8(H)x230.4(V)mm,200 cd/m²,,600:1,5ms,90°/65°(CR>10),1366×768,,16.7M,有,"D-Sub, HDMI,音频输出",无,"100-240VAC, 50/60Hz , 1.5A","正常工作:11W（典型值）
待机:≤0.5W",CCC，CH RoHS，CEL，CECP，Win10，能源之星，中国环境标志认证,黑色,VESA 100mm×100mm,"支持快拆支架
倾斜: -5°-23°
垂直旋转: 无
高度调整: 无
左右旋转: 无",439.6(W)x374.9(H)x199.4(D)mm,439.6(W)x268.1(H)x44.5(D)mm,500(W)x364(H)x139(D)mm,2.1kg,1.7kg,2.98kg,"液晶显示器,
简易说明书
保修证书
显示器底座/支架
电源线
D-SUB信号线","['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,20E1H,"19.5""W",16:9,TN,0.27(H)x0.27(V)mm,433.92(H)x236.34(V)mm,200 cd/m²  ,,600:1,5ms,90°/65°(CR>10),1600×900,,16.7M,有,"D-Sub, HDMI,音频输出",无,"100-240VAC, 50/60Hz , 1.5A","正常工作:12W（典型值）;
待机:≤0.5W",CCC，CH RoHS，CEL，CECP，Win10，能源之星，中国环境标志认证,黑色,VESA 100mm×100mm,"支持快拆支架 倾斜: -5°-23°
垂直旋转: 无
高度调整: 无
左右旋转: 无",461.4(W)x379.3(H)x199.4(D)mm,461.4(W)x276.9(H)x44.8(D)mm,521(W)x368(H)x140(D)mm,2.35kg,1.97kg,3.46kg,"液晶显示器
简易说明书
保修证书
显示器底座/支架
电源线
D-SUB信号线","['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,27E1H,"27""W",16:9,IPS技术,0.3114(H) x 0.3114(V)mm,597.89(H) x 336.31(V)mm ,250 cd/m²  ,,1000:1,5ms GtG ,178°/178°(CR>10),1920x1080,,16.7M,有,"D-Sub, HDMI,音频输出",无,"100-240VAC, 50/60Hz, 1.5A","正常工作:26W（典型值）;,
待机:≤0.5W",CCC，CH RoHS，CEL，CECP，Win10，CE，FCC，中国环境标志认证,黑色,VESA 100mm×100mm,"支持快拆支架 倾斜: -5°-23°
垂直旋转: 无
高度调整: 无
左右旋转: 无",627.9(W)x458.79(H)x203.54(D)mm,627.9(W)x375.81(H)x51.84(D)mm,710(W)x476(H)x140(D)mm,4.58kg,3.95kg,6.16kg,"液晶显示器
简易说明书
保修证书
显示器底座/支架
电源线
D-SUB信号线","['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,22E1,"21.5""W",16:9,TN,0.24825(H)mmx0.24825(V)mm,476.64(H)X268.11(V)mm,200 cd/m²  ,,600:1,5ms,90°/65°(CR>10),1920x1080,,16.7M,无,D-Sub,无,"100-240VAC, 50/60Hz , 1.5A","正常工作:16W（典型值）;
(待机:≤0.5W",CCC，CH RoHS，CEL，CECP，Win10，中国环境标志认证,黑色,VESA 100mm×100mm,"支持快拆支架 倾斜: -5°-23°
垂直旋转: 无
高度调整: 无
左右旋转: 无",504.4(W)x393.7(H)x199.4(D)mm,504.4(W)x305.5(H)x47(D)mm,564(W)x401(H)x137(D)mm,2.61kg,2.4kg,3.7kg,"液晶显示器
简易说明书
保修证书
显示器底座/支架
电源线
D-SUB信号线","['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,22E1H,"21.5""W",16:9,TN,0.24825(H)mmx0.24825(V)mm,476.64(H)X268.11(V)mm,250 cd/m²  ,,1000:1,5ms,170°/160°(CR>10),1920x1080,,16.7M,有,"D-Sub, HDMI,音频输出",无,"100-240VAC, 50/60Hz , 1.5A","正常工作:16W（典型值）;
待机:≤0.5W",CCC，CH RoHS，CEL，CECP，Win10，能源之星，中国环境标志认证,黑色,VESA 100mm×100mm,"支持快拆支架 倾斜: -5°-23°
垂直旋转: 无
高度调整: 无
左右旋转: 无",504.4(W)x393.7(H)x199.4(D)mm,504.4(W)x305.5(H)x47(D)mm,564(W)x401(H)x137(D)mm,2.64kg,2.4kg,3.8kg,"液晶显示器
简易说明书
保修证书
显示器底座/支架
电源线
D-SUB信号线","['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,24E1H,"23.8""W",16:9,IPS技术,0.2745(H)x0.2745(V)mm,527.04(H)x296.46(V)mm ,250 cd/m²  ,,1000:1,5ms GtG ,178°/178°(CR>10),1920x1080,,16.7M,有,"D-Sub, HDMI,音频输出",无,"100-240VAC, 50/60Hz, 1.5A","正常工作:23W（典型值）;
待机:≤0.5W",CCC，CH RoHS，CEL，CECP，Win10，中国环境标志认证,黑色,VESA 100mm×100mm,"支持快拆支架 倾斜: -5°-23°
垂直旋转: 无
高度调整: 无
左右旋转: 无",539.1(W)x404.9(H)x199.4(D)mm,539.1(W)x325.6(H)x49.6(D)mm,609(W)x421(H)x137(D)mm,2.9kg,2.5kg,4.32kg,"液晶显示器
简易说明书
保修证书
显示器底座/支架
电源线
D-SUB信号线","['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,24P1U,"23.8""W",16:9,IPS技术,0.2745(H)x0.2745(V)mm,527.04(H)x296.46(V)mm ,250 cd/m²  ,,1000:1,5ms GtG,178°/178°(CR>10),1920x1080,,16.7M,有,"D-Sub,HDMI,DP, USB 3.1 Gen1, 音频输出",无,"100-240VAC, 50/60Hz, 1.5A","正常工作:20W（典型值）;
待机:≤0.5W","CCC，CH RoHS，CEL，CECP，Win10, CE, CB, FCC, cTUVus, ISO9241-307,  TUVGS，中国环境标志认证",黑色/灰色,VESA 100mm×100mm,"支持快拆支架 倾斜: -5°-23°
垂直旋转: 90°
高度调整: 130mm
左右旋转: +/-175°",539.1(W)x(380.3~510.3)(H)x202.5(D)mm,539.1(W)x325.6(H)x49.4(D)mm,752(W)x408(H)x159(D)mm,4.5kg,2.7kg,6.27kg,"液晶显示器
简易说明书
保修证书
显示器底座/支架
电源线
HDMI信号线
USB(上行)线","['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Q27P1U,"27""W",16:9,IPS技术,0.2331(H)x0.2331(V)mm,596.736(H)x335.664(V)mm,250 cd/m²,,1000:1,5ms GtG,178°/178°(CR>10),2560x1440,,10.7亿,有,"D-Sub,HDMIx2,DP, USB 3.1 Gen1, 音频输出",无,"100-240VAC, 50/60Hz, 1.5A","正常工作:40W（典型值）;
待机:≤0.5W",CCC，CH RoHS，CEL，CECP，Win10，中国环境标志认证,黑色/灰色,VESA 100mm×100mm,"支持快拆支架 倾斜: -5°-23°
垂直旋转: 90°
高度调整: 130mm
左右旋转: +/-175°",627.9(W)x(408.99~538.99)(H)x202.49(D)mm,627.9(W)x375.81(H)x51.96(D)mm,827(W)x478(H)x186(D)mm,6.1kg,4.3kg,8.3kg,"液晶显示器
简易说明书
保修证书
显示器底座/支架
电源线
HDMI信号线
USB(上行)线","['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,X23E1H,"22.5""W",16:10,AH-IPS,0.25425(H) x 0.24765(V)mm,488.160(H) x 297.180(V)mm ,250 cd/m²  ,,1000:1,5ms GtG ,178°/178°(CR>10),1920x1200@60Hz,,16.7M,有,"D-Sub, HDMI,音频输出",无,"100-240VAC, 50/60Hz, 1.5A",正常工作:20W（典型值）;,CCC，CH RoHS，CEL，CECP，Win10，中国环境标志认证,黑色,VESA 100mm×100mm,"支持快拆支架 倾斜: -5°-23°
垂直旋转: 无
高度调整: 无
左右旋转: 无",499(W)x408.1(H)x199.4(D)mm,499(W)x323.9(H)x45.4(D)mm,564(W)x421(H)x137(D)mm,2.82kg,2.44kg,4.22kg,"液晶显示器
简易说明书
保修证书
显示器底座/支架
电源线","['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,55T11K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,4000:1 (typ.),5ms (typ.),0.63mm*0.63mm,,"50,000 hrs (typ.)",,1209.6*680.4mm,,"100V-240V,50-60 Hz",150W,,0℃~40℃,,,20% ~ 80% RH Non-Condensing,,24 hours/7 days,,,,,,,,,,,,,36.75Kg±1.5Kg,44.54 Kg±1.5Kg,,,,,,,*1,,,*1,*1,*1,,"55""",Android 4.4,MSD6A638,"1GB DDR3, 8GB ROM",Up to 1920P,"66""",Infrared touch 红外触摸,4mm tempered glass 4mm钢化玻璃,＞92%,32767 × 32767,±2mm(over 90% area),Coordinate output 坐标输出,6mm,"Windows 7/8/10, Windows 7 Professional, Windows 7 Home Premium, Android",Windows 7 /Windows XP/Vista/Linux/Mac OS/Android/Wince,"AVI,MPEG4,WMV,MKV, Flv, MP3,etc.","JPG, JPEG, BMP, PNG, GIF, etc.",English/Chinese or Customized 中英文或客制化,-,1920 x 1080 (pixels),500cd/m² (typ.),16.7M(8bit),178°(H) / 178°(V),72%,-10℃～60℃,10%～60% RH Non-Condensing,<0.5W,left and right channels Speaker 10W*2 左右腔体喇叭 10W*2,*2,*1,-,*1,*1,*1,*1,*1,-,-,*1,*1,*1,*3,*2 (USB3.0*1/USB2.0*1),*1,*1,-,aluminum frame+tempered glass+plastic cover 铝框+钢化玻璃+塑胶后壳,"black frame+black back cover 黑色面框+黑色背板""",1299.9mm*103.5mm*810.8mm,1420mm*245mm*910mm,30.3\70.4\30.3\30.3mm,"300mm*300mm, 4*M6 screws",*1,*2,-,*1,*1,*1,*1,*1,*1
52,65T11K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,4000:1 (typ.),5ms (typ.),0.420mm*0.315mm,,"50,000 hrs (typ.)",,1428.48*803.52mm,,"100V-240V,50-60 Hz",230W,,0℃~40℃,,,20% ~ 80% RH Non-Condensing,,24 hours/7 days,,,,,,,,,,,,,51.9Kg±1.5Kg,61.73 Kg±1.5Kg,,,,,,,*1,,,*1,*1,*1,,"65""",Android 5.0,MSD6A638,"1GB DDR3, 8GB ROM",Up to 1920P,"65""",Infrared touch 红外触摸,4mm tempered glass 4mm钢化玻璃,＞92%,32767 × 32767,±2mm(over 90% area),Coordinate output 坐标输出,6mm,"Windows 7/8/10, Windows 7 Professional, Windows 7 Home Premium, Android",Windows 7 /Windows XP/Vista/Linux/Mac OS/Android/Wince,"AVI,MPEG4,WMV,MKV, Flv, MP3,etc.","JPG, JPEG, BMP, PNG, GIF, etc.",English/Chinese or Customized 中英文或客制化,K650WD7-LB450A1,3840 x 2160 (pixels),500cd/m² (typ.),1.07B(10bit),178°(H) / 178°(V),72%,-10℃～60℃,10%～60% RH Non-Condensing,<0.5W,left and right channels Speaker 10W*2 左右腔体喇叭 10W*2,*2,*1,-,*1,*1,*1,*1,*1,-,-,*1,*1,*1,*3,*2 (USB3.0*1/USB2.0*1),*1,*1,-,aluminum frame+tempered glass+plastic cover 铝框+钢化玻璃+塑胶后壳,"black frame+black back cover 黑色面框+黑色背板""",1518.3mm*106.1mm*934.3mm,1660mm*245mm*1045mm,30.3\70.4\30.3\30.3mm,"400mm*400mm, 4*M8 screws",*1,*2,-,*1,*1,*1,*1,*1,*1
53,75T11K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['http://or60v0gff.bkt.clouddn.com/banner/E-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/P-180402.jpg', 'http://or60v0gff.bkt.clouddn.com/banner/01-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/02-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/03-170915.png', 'http://or60v0gff.bkt.clouddn.com/banner/04-170915.png']",,,,,,4000:1 (typ.),5ms (typ.),0.429mm*0.429mm,,"50,000 hrs (typ.)",,1647.36*926.64mm,,"100V-240V,50-60 Hz",460W,,0℃~40℃,,,20% ~ 80% RH Non-Condensing,,24 hours/7 days,,,,,,,,,,,,,64.05Kg±1.5Kg,78.68 Kg±1.5Kg,,,,,,,*1,,,*1,*1,*1,,75',Android 5.0,MSD6A828-K8B Quad-core processor ARM A53 1.5GHz,"2GB DDR3, 16GB ROM",Up to 2160P,"75""",Infrared touch 红外触摸,4mm tempered glass 4mm钢化玻璃,＞92%,32767 × 32767,±2mm(over 90% area),Coordinate output 坐标输出,6mm,"Windows 7/8/10, Windows 7 Professional, Windows 7 Home Premium, Android",Windows 7 /Windows XP/Vista/Linux/Mac OS/Android/Wince,"AVI,MPEG4,WMV,MKV, Flv, MP3,etc.","JPG, JPEG, BMP, PNG, GIF, etc.",English/Chinese or Customized 中英文或客制化,K750WD90-LA450A1,3840 x 2160 (pixels),500cd/m² (typ.),1.07B(10bit),178°(H) / 178°(V),72%,-10℃～60℃,10%～60% RH Non-Condensing,<0.5W,left and right channels Speaker 10W*2 左右腔体喇叭 10W*2,*2,*1,-,*1,*1,*1,*1,*1,*1,-,*1,*1,*1,*1 (USB2.0*1),*2 (USB3.0*2),*1,*1,-,aluminum frame+tempered glass+plastic cover 铝框+钢化玻璃+塑胶后壳,"black frame+black back cover 黑色面框+黑色背板""",1744.61mm*110.7mm*1063.16mm,1880mm*280mm*1160mm,30.4\70.4\30.4\30.4mm,"600mm*400mm, 4*M8 screws",*1,*2,-,*1,*1,*1,*1,*1,*1
