产品名称,产品ID,芯片系列,产品系列,图形芯片,核心工艺,CUDA核心,基础频率,一键OC核心频率,显存频率,显存容量,显存类型,显存位宽,总线标准,3D API,显示接口,外接供电,TDP功耗,图片列表,NVIDIA SLI,数字最大分辨率,多显示器,呼吸灯,风扇调速,风扇智能启停,VGA最大分辨率,水冷头
网驰GTX750Ti-Twin-2GD5 Green,194,GeForce® GTX 750ti,网驰系列,NVIDIA GeForce GTX 750Ti GPU,28nm,,,,5400MHz,2048M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+VGA+HDMI,,,"['https://www.colorful.cn/Resource/2015/11/201511121710030982.JPG', 'https://www.colorful.cn/Resource/2015/11/201511121710049546.JPG', 'https://www.colorful.cn/Resource/2015/11/201511121710059686.JPG', 'https://www.colorful.cn/Resource/2015/11/201511121710062962.JPG']",,"DVI：2560x1600,60HzHDMI: 4096×2160 24HzDisplayport：5120×2880",,,,,,
网驰GTX750Ti-2GD5 限量版 V5,195,GeForce® GTX 750ti,网驰系列,NVIDIA GeForce GTX 750Ti GPU,28nm,,,,5400MHz,2048M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+VGA+HDMI,,,"['https://www.colorful.cn/Resource/2015/11/201511102139500107.JPG', 'https://www.colorful.cn/Resource/2015/11/201511102139520075.JPG', 'https://www.colorful.cn/Resource/2015/11/201511102139523975.JPG', 'https://www.colorful.cn/Resource/2015/11/201511102139531307.JPG']",,4096x2160,,,,,,
iGame750Ti 烈焰战神S-Twin-2GD5,193,GeForce® GTX 750ti,iGame系列,NVIDIA GeForce GTX 750Ti GPU,28nm,,,,5400MHz,2048M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+DVI+miniHDMI,,,"['https://www.colorful.cn/Resource/2015/05/201505071511556531.JPG', 'https://www.colorful.cn/Resource/2015/05/201505071511577435.JPG', 'https://www.colorful.cn/Resource/2015/05/201505071511596623.JPG', 'https://www.colorful.cn/Resource/2015/05/201505071511538435.JPG']",,4096x2160,,,,,,
网驰GTX750Ti-2GD5 限量版 V2,191,GeForce® GTX 750ti,网驰系列,NVIDIA GeForce GTX 750Ti GPU,28nm,,,,5400MHz,2048M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+VGA+HDMI,,,"['https://www.colorful.cn/Resource/2015/04/201504151648381454.JPG', 'https://www.colorful.cn/Resource/2015/04/201504151648409222.JPG', 'https://www.colorful.cn/Resource/2015/04/201504151648443386.JPG', 'https://www.colorful.cn/Resource/2015/04/201504151648355402.JPG']",,4096x2160,,,,,,
Colorful 750Ti-2GD5 定制版,192,GEFORCE 700系列,Colorful系列,NVIDIA GeForce GTX 750Ti GPU,28nm,,,,5400MHz,2048M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+VGA+HDMI,,,"['https://www.colorful.cn/Resource/2015/04/201504151637549377.JPG', 'https://www.colorful.cn/Resource/2015/04/201504151637576053.JPG', 'https://www.colorful.cn/Resource/2015/04/201504151637596021.JPG', 'https://www.colorful.cn/Resource/2015/04/201504151638014741.JPG']",,4096x2160,,,,,,
网驰GTX750Ti-2GD5 限量版,190,GeForce® GTX 750ti,网驰系列,NVIDIA GeForce GTX 750Ti GPU,28nm,,,,5400MHz,2048M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+VGA+HDMI,,,"['https://www.colorful.cn/uploads/AttachFile/201709271642369511.JPG', 'https://www.colorful.cn/uploads/AttachFile/201709271642377779.JPG', 'https://www.colorful.cn/uploads/AttachFile/201709271642381991.JPG', 'https://www.colorful.cn/uploads/AttachFile/201709271642387295.JPG']",,4096x2160,,,,,,
战斧GTX750Ti-Twin-2GD5,187,GeForce® GTX 750ti,战斧系列,NVIDIA GeForce GTX 750Ti GPU,28nm,,,,5400MHz,2048M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+VGA+HDMI,,,"['https://www.colorful.cn/Resource/2014/11/201411251055246160.JPG', 'https://www.colorful.cn/Resource/2014/11/201411251055257080.JPG', 'https://www.colorful.cn/Resource/2014/11/201411251055262228.JPG', 'https://www.colorful.cn/Resource/2014/11/201411251055251620.JPG']",,4096x2160,,,,,,
战斧GTX750Ti-2GD5 V2 BE1,188,GeForce® GTX 750ti,战斧系列,NVIDIA GeForce GTX 750Ti GPU,28nm,,,,5400MHz,2048M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+VGA+HDMI,,,"['https://www.colorful.cn/Resource/2014/11/201411181034513857.JPG', 'https://www.colorful.cn/Resource/2014/11/201411181034527897.JPG', 'https://www.colorful.cn/Resource/2014/11/201411181034532109.JPG', 'https://www.colorful.cn/Resource/2014/11/201411181034523061.JPG']",,4096x2160,,,,,,
iGame750Ti 烈焰战神U-1GD5 V3,189,GeForce® GTX 750ti,iGame系列,NVIDIA GeForce GTX 750Ti GPU,28nm,,,"Boost:1189MHz,Base:1111MHz",5400MHz,1024M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+DVI+miniHDMI,,,"['https://www.colorful.cn/Resource/2014/11/201411101531471258.JPG', 'https://www.colorful.cn/Resource/2014/11/201411101531487014.JPG', 'https://www.colorful.cn/Resource/2014/11/201411101531496842.JPG', 'https://www.colorful.cn/Resource/2014/11/201411101531481398.JPG']",,4096x2160,,,,,,
iGame750Ti 冰封骑士LP-2GD5,186,GeForce® GTX 750ti,iGame系列,NVIDIA GeForce GTX 750Ti GPU,28nm,,,,5400MHz,2048M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+HDMI,,,"['https://www.colorful.cn/Resource/2014/07/201407251624361204.JPG', 'https://www.colorful.cn/Resource/2014/07/201407251624365572.JPG', 'https://www.colorful.cn/Resource/2014/07/201407251624350751.JPG']",,4096x2160,,,,,,
网驰GTX750Ti-1GD5 Green,185,GeForce® GTX 750ti,网驰系列,NVIDIA GeForce GTX 750Ti GPU,28nm,,,,5400MHz,1024M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+VGA+HDMI,,,"['https://www.colorful.cn/Resource/2014/06/201406230940342252.JPG', 'https://www.colorful.cn/Resource/2014/06/201406230940354576.JPG', 'https://www.colorful.cn/Resource/2014/06/201406230940359880.JPG', 'https://www.colorful.cn/Resource/2014/06/201406230940348336.JPG']",,4096x2160,,,,,,
iGame750Ti 冰封骑士Slim-2GD5,184,GeForce® GTX 750ti,iGame系列,NVIDIA GeForce GTX 750Ti GPU,28nm,,,,5400MHz,2048M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+DVI+miniHDMI,,,"['https://www.colorful.cn/Resource/2014/06/201406131008420551.JPG', 'https://www.colorful.cn/Resource/2014/06/201406131008429911.JPG', 'https://www.colorful.cn/Resource/2014/06/201406131008449567.JPG', 'https://www.colorful.cn/Resource/2014/06/201406131008397151.JPG']",,4096x2160,,,,,,
iGame750Ti 烈焰战神U-Twin-2GD5 V2,182,GeForce® GTX 750ti,iGame系列,NVIDIA GeForce GTX 750Ti GPU,28nm,,,"Boost:1189MHz,Base:1111MHz",5400MHz,2048M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+DVI+miniHDMI,,,"['https://www.colorful.cn/Resource/2014/05/201405231138202802.JPG', 'https://www.colorful.cn/Resource/2014/05/201405231138228542.JPG', 'https://www.colorful.cn/Resource/2014/05/201405231138235251.JPG', 'https://www.colorful.cn/Resource/2014/05/201405231138193130.JPG']",,4096x2160,,,,,,
iGame750Ti 烈焰战神U-Twin-2GD5,183,GeForce® GTX 750ti,iGame系列,NVIDIA GeForce GTX 750Ti GPU,28nm,,,"Boost:1176MHz,Base:1098MHz",5400MHz,2048M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+DVI+miniHDMI,,,"['https://www.colorful.cn/Resource/2014/05/201405202012110559.JPG', 'https://www.colorful.cn/Resource/2014/05/201405202012121635.JPG', 'https://www.colorful.cn/Resource/2014/05/201405202012127251.JPG', 'https://www.colorful.cn/Resource/2014/05/201405202012102447.JPG']",,4096x2160,,,,,,
iGame750Ti 烈焰战神U-Twin-1GD5,180,GeForce® GTX 750ti,iGame系列,NVIDIA GeForce GTX 750Ti GPU,28nm,,,,5400MHz,1024M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+DVI+miniHDMI,,,"['https://www.colorful.cn/Resource/2014/04/201404251525241861.JPG', 'https://www.colorful.cn/Resource/2014/04/201404251525270097.JPG', 'https://www.colorful.cn/Resource/2014/04/201404251525316429.JPG', 'https://www.colorful.cn/Resource/2014/04/201404251525338426.JPG']",,4096x2160,,,,,,
战斧GTX750Ti-2GD5 V2,181,GeForce® GTX 750ti,战斧系列,NVIDIA GeForce GTX 750Ti GPU,28nm,,,,5400MHz,2048M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+VGA+HDMI,,,"['https://www.colorful.cn/Resource/2014/04/201404251600541302.JPG', 'https://www.colorful.cn/Resource/2014/04/201404251600565482.JPG', 'https://www.colorful.cn/Resource/2014/04/201404251600587478.JPG', 'https://www.colorful.cn/Resource/2014/04/201404251600514937.JPG']",,4096x2160,,,,,,
网驰GTX750Ti-2GD5,176,GeForce® GTX 750ti,"网驰系列,七彩虹系列",NVIDIA GeForce GTX 750Ti GPU,28nm,,,,5400MHz,2048M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+VGA+HDMI,,,"['https://www.colorful.cn/Resource/2014/03/201403311459159803.JPG', 'https://www.colorful.cn/Resource/2014/03/201403311459173531.JPG', 'https://www.colorful.cn/Resource/2014/03/201403311459139211.JPG']",,4096x2160,,,,,,
网驰GTX750Ti-1GD5,177,GeForce® GTX 750ti,网驰系列,NVIDIA GeForce GTX 750Ti GPU,28nm,,,,5400MHz,1024M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+VGA+HDMI,,,"['https://www.colorful.cn/Resource/2014/03/201403311508266171.JPG', 'https://www.colorful.cn/Resource/2014/03/201403311508285671.JPG', 'https://www.colorful.cn/Resource/2014/03/201403311508303299.JPG', 'https://www.colorful.cn/Resource/2014/03/201403311508247139.JPG']",,4096x2160,,,,,,
iGame750Ti 烈焰战神U-2GD5,178,GeForce® GTX 750ti,iGame系列,NVIDIA GeForce GTX 750Ti GPU,28nm,,,,5400MHz,2048M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,双DVI+HDMI+DP,,,"['https://www.colorful.cn/Resource/2014/03/201403311517368950.JPG', 'https://www.colorful.cn/Resource/2014/03/201403311517387670.JPG', 'https://www.colorful.cn/Resource/2014/03/201403311517351790.JPG']",,4096x2160,,,,,,
战斧GTX750Ti-2GD5,179,GeForce® GTX 750ti,战斧系列,NVIDIA GeForce GTX 750Ti GPU,28nm,,,,5400MHz,2048M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+VGA+HDMI,,,"['https://www.colorful.cn/Resource/2014/03/201403311450236113.JPG', 'https://www.colorful.cn/Resource/2014/03/201403311450253897.JPG', 'https://www.colorful.cn/Resource/2014/03/201403311450278857.JPG', 'https://www.colorful.cn/Resource/2014/03/201403311450218173.JPG']",,4096x2160,,,,,,
网驰GTX750Ti-2GD5,174,GeForce® GTX 750ti,网驰系列,NVIDIA GeForce GTX 750Ti GPU,28nm,,,,5400MHz,2048M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+VGA+HDMI,,,"['https://www.colorful.cn/Resource/2014/03/201403171635393997.JPG', 'https://www.colorful.cn/Resource/2014/03/201403171635409909.JPG', 'https://www.colorful.cn/Resource/2014/03/201403171635434246.JPG', 'https://www.colorful.cn/Resource/2014/03/201403171635376369.JPG']",,4096x2160,,,,,,
iGame750Ti 烈焰战神X-Twin-2GD5,175,GeForce® GTX 750ti,iGame系列,NVIDIA GeForce GTX 750Ti GPU,28nm,,,"Boost:1255MHz,Base:1176MHz",5400MHz/6000MHz,2048M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+DVI+miniHDMI,,,"['https://www.colorful.cn/uploads/AttachFile/201804181136446719.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181136449995.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181136450775.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181136454051.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181136455767.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181136460447.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181136460915.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181136461695.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181136469651.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181136470899.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181136474331.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181136475579.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181136478699.jpg']",,4096x2160,,,,,,
网驰GTX750Ti-2GD5,172,GeForce® GTX 750ti,网驰系列,NVIDIA GeForce GTX 750Ti GPU,28nm,,,,5400MHz,2048M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+VGA+HDMI,,,"['https://www.colorful.cn/Resource/2014/02/201402081123365499.JPG', 'https://www.colorful.cn/Resource/2014/02/201402081123383751.JPG', 'https://www.colorful.cn/Resource/2014/02/201402081123405591.JPG', 'https://www.colorful.cn/Resource/2014/02/201402081123342567.JPG']",,4096x2160,,,,,,
iGame750Ti 烈焰战神U-Twin-2GD5,173,GeForce® GTX 750ti,iGame系列,NVIDIA GeForce GTX 750Ti GPU,28nm,,,"Boost:1176MHz,Base:1098MHz",5400MHz,2048M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+DVI+miniHDMI,,,"['https://www.colorful.cn/Resource/2014/02/201402121454162513.JPG', 'https://www.colorful.cn/Resource/2014/02/201402121454177177.JPG', 'https://www.colorful.cn/Resource/2014/02/201402121454146756.JPG']",,4096x2160,,,,,,
七彩虹GTX750 灵动鲨-Twin-2GD5,171,GeForce® GTX 750,七彩虹系列,GTX750,28nm,512,,1085MHZ,5000MHZ,2048M,GDDR5,128bit,PCI Express 3.0,Microsoft DirectX 11.2/OpenGL 4.4,DIV+VGA+HDMI,6pin,55w,"['https://www.colorful.cn/Resource/2016/06/201606031759316274.JPG', 'https://www.colorful.cn/Resource/2016/06/201606031759322358.JPG', 'https://www.colorful.cn/Resource/2016/06/201606031759326726.JPG', 'https://www.colorful.cn/Resource/2016/06/201606031759309566.JPG']",,4096x2160,4,,,,2048x1536,
iGame750 烈焰战神U-2GD5,169,GeForce® GTX 750,iGame系列,NVIDIA GeForce GTX 750 GPU,28nm,,,,5000MHZ,2048M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+DVI+miniHDMI,,,"['https://www.colorful.cn/uploads/AttachFile/201801231636291256.JPG', 'https://www.colorful.cn/uploads/AttachFile/201801231636381892.JPG', 'https://www.colorful.cn/uploads/AttachFile/201801231636506692.JPG', 'https://www.colorful.cn/uploads/AttachFile/201801231637224777.JPG']",,4096x2160,,,,,2048x1536,
iGame750 烈焰战神U-Twin-2GD5,170,GeForce® GTX 750,iGame系列,NVIDIA GeForce GTX 750 GPU,28NM,,,,5000MHZ,2048M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+DVI+miniHDMI,,,"['https://www.colorful.cn/Resource/2015/09/201509011349362709.JPG', 'https://www.colorful.cn/Resource/2015/09/201509011349371913.JPG', 'https://www.colorful.cn/Resource/2015/09/201509011349383301.JPG', 'https://www.colorful.cn/Resource/2015/09/201509011349357561.JPG']",,4096x2160,,,,,2048x1536,
网驰GTX750-2GD5 限量版,167,GeForce® GTX 750,网驰系列,NVIDIA GeForce GTX 750 GPU,28nm,,,,5000MHZ,2048M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+VGA+HDMI,,,"['https://www.colorful.cn/Resource/2015/05/201505131545458294.JPG', 'https://www.colorful.cn/Resource/2015/05/201505131545474362.JPG', 'https://www.colorful.cn/Resource/2015/05/201505131545484347.JPG', 'https://www.colorful.cn/Resource/2015/05/201505131545450338.JPG']",,4096x2160,,,,,2048x1536,
iGame750 烈焰战神S-Twin-1GD5,168,GeForce® GTX 750,iGame系列,NVIDIA GeForce GTX 750 GPU,28nm,,,,5000MHZ,1024M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+DVI+miniHDMI,,,"['https://www.colorful.cn/Resource/2015/05/201505071457189587.JPG', 'https://www.colorful.cn/Resource/2015/05/201505071457211271.JPG', 'https://www.colorful.cn/Resource/2015/05/201505071457231239.JPG', 'https://www.colorful.cn/Resource/2015/05/201505071457172739.JPG']",,4096x2160,,,,,2048x1536,
iGame750 烈焰战神S-Twin-2GD5,166,GeForce® GTX 750,iGame系列,NVIDIA GeForce GTX 750 GPU,28nm,,,,5000MHZ,2048M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+DVI+miniHDMI,,,"['https://www.colorful.cn/Resource/2015/05/201505071503329867.JPG', 'https://www.colorful.cn/Resource/2015/05/201505071503349367.JPG', 'https://www.colorful.cn/Resource/2015/05/201505071503369023.JPG', 'https://www.colorful.cn/Resource/2015/05/201505071503313642.JPG']",,4096x2160,,,,,2048x1536,
网驰GTX750-1GD5 定制版,165,GeForce® GTX 750,网驰系列,NVIDIA GeForce GTX 750 GPU,28nm,,,,5000MHZ,1024M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+HDMI+VGA,,,"['https://www.colorful.cn/Resource/2015/04/201504151656166479.JPG', 'https://www.colorful.cn/Resource/2015/04/201504151656187539.JPG', 'https://www.colorful.cn/Resource/2015/04/201504151656207196.JPG', 'https://www.colorful.cn/Resource/2015/04/201504151656228256.JPG']",,4096x2160,,,,,2048x1536,
战斧GTX750-Twin-2GD5,164,GeForce® GTX 750,战斧系列,NVIDIA GeForce GTX 750 GPU,28nm,,,,5000MHZ,2048M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+HDMI+VGA,,,"['https://www.colorful.cn/uploads/AttachFile/201804181146059141.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181146060077.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181146063509.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181146065225.jpg']",,4096x2160,,,,,2048x1536,
iGame750 烈焰战神U-Twin-2GD5 V2 BA1,162,GeForce® GTX 750,iGame系列,NVIDIA GeForce GTX 750 GPU,28nm,,,,5000MHZ,2048M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DP+DVI+mini HDMI,,,"['https://www.colorful.cn/Resource/2015/03/201503261117001577.JPG', 'https://www.colorful.cn/Resource/2015/03/201503261117009065.JPG', 'https://www.colorful.cn/Resource/2015/03/201503261117015929.JPG', 'https://www.colorful.cn/Resource/2015/03/201503261116593933.JPG']",,4096x2160,,,,,2048x1536,
iGame750 烈焰战神U-Twin-2GD5,163,GeForce® GTX 750,iGame系列,NVIDIA GeForce GTX 750 GPU,28nm,,,,5000MHZ,2048M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+DVI+miniHDMI,,,"['https://www.colorful.cn/Resource/2015/03/201503201625012563.JPG', 'https://www.colorful.cn/Resource/2015/03/201503201625019583.JPG', 'https://www.colorful.cn/Resource/2015/03/201503201625026915.JPG', 'https://www.colorful.cn/Resource/2015/03/201503201625003515.JPG']",,4096x2160,,,,,2048x1536,
网驰GTX750-2GD5 V3,161,GeForce® GTX 750,网驰系列,NVIDIA GeForce GTX 750 GPU,28nm,,,,5000MHz,2048M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+VGA+HDMI,,,"['https://www.colorful.cn/Resource/2014/12/201412221049060636.JPG', 'https://www.colorful.cn/Resource/2014/12/201412221049070308.JPG', 'https://www.colorful.cn/Resource/2014/12/201412221049078420.JPG', 'https://www.colorful.cn/Resource/2014/12/201412221049036924.JPG']",,4096x2160,,,,,2048x1536,
战斧GTX750-Twin-1GD5,159,GeForce® GTX 750,战斧系列,NVIDIA GeForce GTX 750 GPU,28nm,,,,5000MHz,1024M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+VGA+HDMI,,,"['https://www.colorful.cn/uploads/AttachFile/201804181148130232.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181148131168.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181148135068.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181148136004.jpg']",,4096x2160,,,,,2048x1536,
iGame750 烈焰战神U-Twin-1GD5 V2 BB1,160,GeForce® GTX 750,iGame系列,NVIDIA GeForce GTX 750 GPU,28nm,,,,5000MHz,1024M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+DVI+miniHDMI,,,"['https://www.colorful.cn/Resource/2014/11/201411061415209014.JPG', 'https://www.colorful.cn/Resource/2014/11/201411061415221806.JPG', 'https://www.colorful.cn/Resource/2014/11/201411061415228670.JPG', 'https://www.colorful.cn/Resource/2014/11/201411061415215566.JPG']",,4096x2160,,,,,2048x1536,
Colorful 750-2GD5 定制版,158,GEFORCE 700系列,Colorful系列,NVIDIA GeForce GTX 750 GPU,28nm,,,,5000MHz,2048M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+VGA+HDMI,,,"['https://www.colorful.cn/Resource/2014/11/201411101541432056.JPG', 'https://www.colorful.cn/Resource/2014/11/201411101541451088.JPG', 'https://www.colorful.cn/Resource/2014/11/201411101541474020.JPG', 'https://www.colorful.cn/Resource/2014/11/201411101541427220.JPG']",,4096x2160,,,,,2048x1536,
iGame750 烈焰战神U-Twin-2GD5,157,GeForce® GTX 750,iGame系列,NVIDIA GeForce GTX 750 GPU,28nm,,,,5000MHz,2048M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+DVI+miniHDMI,,,"['https://www.colorful.cn/uploads/AttachFile/201804181153498745.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181153503893.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181153504049.jpg']",,4096x2160,,,,,2048x1536,
iGame750 冰封骑士LP-1GD5,154,GeForce® GTX 750,iGame系列,NVIDIA GeForce GTX 750 GPU,28nm,,,,5000/5010MHz,1024M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+HDMI,,,"['https://www.colorful.cn/Resource/2014/06/201406230929046228.JPG', 'https://www.colorful.cn/Resource/2014/06/201406230929067444.JPG', 'https://www.colorful.cn/Resource/2014/06/201406230929026415.JPG']",,4096x2160,,,,,2048x1536,
iGame750 冰封骑士Slim-1GD5,155,GeForce® GTX 750,iGame系列,NVIDIA GeForce GTX 750 GPU,28nm,,,,5000/5010MHz,1024M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+DVI+miniHDMI,,,"['https://www.colorful.cn/Resource/2014/06/201406131000186243.JPG', 'https://www.colorful.cn/Resource/2014/06/201406131000190455.JPG', 'https://www.colorful.cn/Resource/2014/06/201406131000194979.JPG', 'https://www.colorful.cn/Resource/2014/06/201406131000172202.JPG']",,4096x2160,,,,,2048x1536,
网驰GTX750-2GD5,156,GeForce® GTX 750,网驰系列,NVIDIA GeForce GTX 750 GPU,28nm,,,,5000MHz,2048M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+VGA+HDMI,,,['https://www.colorful.cn/Resource/2014/06/201406121930451350.JPG'],,4096x2160,,,,,2048x1536,
iGame750 烈焰战神U-Twin-1GD5 V2,153,GeForce® GTX 750,战斧系列,NVIDIA GeForce GTX 750 GPU,28nm,,,,5000MHz,1024M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+VGA+HDMI,,,"['https://www.colorful.cn/uploads/AttachFile/201804181154560499.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181154563931.jpg', 'https://www.colorful.cn/uploads/AttachFile/201804181154565959.jpg']",,4096x2160,,,,,2048x1536,
iGame750 烈焰战神U-1GD5,150,GeForce® GTX 750,iGame系列,NVIDIA GeForce GTX 750 GPU,28nm,,,,5000MHz,1024M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,双DVI+HDMI+DP,,,"['https://www.colorful.cn/Resource/2014/03/201403311529544677.JPG', 'https://www.colorful.cn/Resource/2014/03/201403311529529545.JPG']",,4096x2160,,,,,2048x1536,
战斧GTX750-1GD5,152,,,,,,,,,,,,,,,,,"['https://www.colorful.cn/Resource/2014/03/201403211429321478.JPG', 'https://www.colorful.cn/Resource/2014/03/201403211429336298.JPG', 'https://www.colorful.cn/Resource/2014/03/201403211429362818.JPG', 'https://www.colorful.cn/Resource/2014/03/201403211429300886.JPG']",,,,,,,,
网驰GTX750-1GD5 Green,151,GeForce® GTX 750,网驰系列,NVIDIA GeForce GTX 750 GPU,28nm,,,,5000MHz,1024M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+VGA+HDMI,,,"['https://www.colorful.cn/Resource/2014/03/201403191126288517.JPG', 'https://www.colorful.cn/Resource/2014/03/201403191126302557.JPG', 'https://www.colorful.cn/Resource/2014/03/201403191126321433.JPG', 'https://www.colorful.cn/Resource/2014/03/201403191126272293.JPG']",,4096x2160,,,,,2048x1536,
iGame750 烈焰战神X-Twin-1GD5,149,GeForce® GTX 750,iGame系列,NVIDIA GeForce GTX 750 GPU,28nm,,,,5000MHz/5600MHz,1024M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+DVI+miniHDMI,,,"['https://www.colorful.cn/Resource/2014/03/201403111519471688.JPG', 'https://www.colorful.cn/Resource/2014/03/201403111519487288.JPG', 'https://www.colorful.cn/Resource/2014/03/201403111519505384.JPG', 'https://www.colorful.cn/Resource/2014/03/201403111519455152.JPG']",,4096x2160,,,,,2048x1536,
网驰GTX750-1GD5,147,GeForce® GTX 750,网驰系列,NVIDIA GeForce GTX 750 GPU,28nm,,,,5000MHz,1024M,GDDR5,128BIT,PCI-E X16(3.0),DirectX 11.2 / OpenGL 4.3,DVI+VGA+HDMI,,,"['https://www.colorful.cn/Resource/2014/02/201402081435126848.JPG', 'https://www.colorful.cn/Resource/2014/02/201402081435151340.JPG', 'https://www.colorful.cn/Resource/2014/02/201402081435109532.JPG']",,4096x2160,,,,,2048x1536,
