产品名称,CPU,CPU型号,CPU主频,最高睿频,操作系统,屏幕尺寸,物理分辨率,屏幕类型,内存容量,内存类型,内存频率,硬盘类型,硬盘容量,显卡类型,显示芯片,显存容量,显存类型,光驱类型,USB3.0,USB2.0,视频接口,音频接口,读卡器,type-c 接口,无线网卡,摄像头,键盘描述,尺寸,预装软件,图片列表,电池,重量,蓝牙,电源适配器,颜色,核心数,显示比例,RJ45(以太网口),杜比音效,扬声器,麦克风,指取设备,型号,USB3.1,其他接口,JBL音响,接口类型,硬盘转速,三级缓存,ThunderBolt 3.0,有线网卡,指纹识别,保修政策,质保时间,质保备注,内存插槽数量,外壳材质A面,摄像头像素,触控屏,增值服务,续航时间,外壳材质D面,内存最大支持容量
YOGA 710-14IKB 14.0英寸触控笔记本 金色 80V4009YCD, 第七代Kabylake智能英特尔® 酷睿™ i5 处理器,i5-7200U,2.5 GHz,3.1 GHz,Windows 10 家庭中文版,14.0英寸,1920x1080,全高清IPS屏幕,8GB,DDR4,,SSD固态硬盘,256GB,独立显卡,NVIDIA Geforce MX130,2GB,DDR3L,无光驱,2个,,MICRO HDMI,耳机、麦克风二合一接口,4合1读卡器,,2*2 AC无线局域网卡,720p HD 摄像头,背光键盘,厚度17.3mm,正版office家庭和学生版2016,"['//p4.lefile.cn/product/adminweb/2016/10/19/Yyl8K0PfczxhxPZRznX5gWlnm-9411.w84.jpg', '//p3.lefile.cn/product/adminweb/2016/10/19/TAdUxw2ffbY86LIVHJn6tNFsm-9464.w84.jpg', '//p1.lefile.cn/product/adminweb/2016/10/19/6KFtht814AMhedVSZ9WABhGaW-9482.w84.jpg', '//p4.lefile.cn/product/adminweb/2016/10/19/ZJCfdZZrJaRKfSuQ53UXcrjDW-0271.w84.jpg', '//p1.lefile.cn/product/adminweb/2016/10/19/Z4HfRbIG8QDktOvnHbULXN2rB-0280.w84.jpg', '//p1.lefile.cn/product/adminweb/2016/12/09/Eme49mzikv7HOZmzSarOLrnoW-5390.w84.jpg']",52.5Wh,重量1.6Kg,BT4.1,100-240V自适应交流电源适配器,,双核,16:9,,,,,,Lenovo YOGA 710-14IKB,,,,,,,,,,,,,,,,支持,,,,
YOGA 6 Pro-13IKB（YOGA 920）13.9英寸触控笔记本 暮光咖  80Y70023CD,第八代Kabylake智能英特尔® 酷睿™ i5 处理器,i5-8250U,1.6 GHz,3.4 GHz,Windows 10 家庭中文版,13.9英寸,1920x1080,FHD IPS屏幕,8GB,DDR4,,SSD固态硬盘,256GB,集成显卡,,,,无光驱,1个,,,耳机、麦克风二合一接口,,,有,,背光键盘,323x223.5x13.95mm,正版office家庭和学生版2016,"['//p1.lefile.cn/product/adminweb/2017/10/24/dRqrioU2uibog4lCmqRTkmx0M-4817.w84.jpg', '//p3.lefile.cn/product/adminweb/2017/10/24/kNvG34hPiSAoDPSNH6EurWO6S-4883.w84.jpg', '//p1.lefile.cn/product/adminweb/2017/10/24/lODZ2VUwM9xdDqYIcwNQsItc6-4911.w84.jpg', '//p1.lefile.cn/product/adminweb/2017/10/24/iPH6RIampEHlsEzn4LknVg6mE-5389.w84.jpg', '//p3.lefile.cn/product/adminweb/2017/10/24/WTVnd39bg1Nh5d6rFLpzY0QgB-5338.w84.jpg', '//p4.lefile.cn/product/adminweb/2017/10/24/qPWZjC5YkXibVkJYdVTcIjgoJ-1808.w84.jpg']",,1.37kg,,100-240V自适应交流电源适配器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOGA 720-12IKB 12.5英寸触控笔记本 天蝎灰 81B5001KCD, 第七代Kabylake智能英特尔® 酷睿™ i5 处理器,i5-7200U,2.5 GHz,3.1 GHz,Windows 10 家庭中文版,12.5英寸,1920x1080,FHD全高清屏幕,8GB,DDR4,,SSD固态硬盘,256GB,集成显卡,,,,无光驱,1个,,,耳机、麦克风二合一接口,,有,有,,,293*203.4*15.75mm,正版office家庭和学生版2016,"['//p4.lefile.cn/product/adminweb/2017/10/24/dJvCbQXIEQTfSyiyKsrQbq0c5-7780.w84.jpg', '//p3.lefile.cn/product/adminweb/2017/10/24/kTRAfwrKOYLF4L51E6zXA1MAY-7833.w84.jpg', '//p2.lefile.cn/product/adminweb/2017/10/24/l8nQ49BnSYWYeDewiN6u7YFt2-7849.w84.jpg', '//p2.lefile.cn/product/adminweb/2017/10/24/BJBabL3GXKIKYD6honszxYpTm-8265.w84.jpg', '//p2.lefile.cn/product/adminweb/2017/10/24/fuYg3IFpZ6yAfoFGjMjzsyVVG-8523.w84.jpg', '//p4.lefile.cn/product/adminweb/2017/10/24/ZT5SYfwwi84ILJrs6RESttFvy-1733.w84.jpg']",,1.18kg,,100-240V自适应交流电源适配器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOGA 6 Pro-13IKB（YOGA 920）13.9英寸触控笔记本 晨曦金 80Y70027CD,第八代Kabylake智能英特尔® 酷睿™ i5 处理器,i5-8250U,1.6 GHz,3.4 GHz,Windows 10 中文版,13.9英寸,1920x1080,FHD IPS屏幕,8GB,DDR4,,SSD固态硬盘,512GB,集成显卡,,,,无光驱,1个,,,耳机、麦克风二合一接口,,,有,,背光键盘,323x223.5x13.95mm,正版office家庭和学生版2016,"['//p1.lefile.cn/product/adminweb/2017/10/25/a7VSGXXSm6DfiLN56bUlExNqo-1804.w84.jpg', '//p3.lefile.cn/product/adminweb/2017/10/25/xinSGd6XGy7w8B9psdAAxWmoY-1928.w84.jpg', '//p3.lefile.cn/product/adminweb/2017/10/25/0qVh9zcLbtEG4vO5LUESKsOqW-1828.w84.jpg', '//p2.lefile.cn/product/adminweb/2017/10/25/qv3f3IhIEs2SKRLvlSsMKtV46-2299.w84.jpg', '//p3.lefile.cn/product/adminweb/2017/10/25/989He0I4diiMHfNxh4PD94hsQ-2362.w84.jpg', '//p3.lefile.cn/product/adminweb/2017/10/24/qPWZjC5YkXibVkJYdVTcIjgoJ-1808.w84.jpg']",,1.37kg,,100-240V自适应交流电源适配器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOGA 5 Pro-13IKB（YOGA 910）13.9英寸触控笔记本 金色 80VF001VCD, 第七代Kabylake智能英特尔® 酷睿™ i5 处理器,i5-7200U,2.5 GHz,3.1 GHz,Windows 10 家庭中文版,13.9英寸,1920x1080,三边窄边框全高清IPS触控屏,8GB,DDR4,,SSD固态硬盘,512GB,集成显卡,,,,无光驱,,,,,,,有,720p HD 摄像头,背光键盘,厚度14.3mm,正版office家庭和学生版2016,"['//p1.lefile.cn/product/adminweb/2016/10/21/QxFbMpW5B1HyRWBZtfKQCJ7zZ-2013.w84.jpg', '//p2.lefile.cn/product/adminweb/2016/10/21/6cOYV9pHRA2QIKYp19SuedlCh-2112.w84.jpg', '//p1.lefile.cn/product/adminweb/2016/10/21/DPJVPOIrxxGGNDF4K7JLqgdkI-2091.w84.jpg', '//p3.lefile.cn/product/adminweb/2016/10/21/y60yludr7bsWPliLM2jzssXj3-2934.w84.jpg', '//p3.lefile.cn/product/adminweb/2016/10/21/q34K7hzB0yRLWU0yBJqK72iHU-2975.w84.jpg', '//p4.lefile.cn/product/adminweb/2016/10/21/mE3L3ozDJk0U4PQAjRAuyUMkD-2981.w84.jpg', '//p3.lefile.cn/product/adminweb/2016/11/10/e0zjq3JPSrVcqz1sOYZR2nPiP-6441.w84.jpg', '//p4.lefile.cn/product/adminweb/2016/11/10/M01MAO4XDxUOZsfVvMUUDkyJT-9839.w84.jpg']",78Wh,重量1.38Kg,,100-240V自适应交流电源适配器,,双核,16:9,,,,,,YOGA910-13IKB,,,,,,,,,有,,,,,,,支持,,,,
IdeaPad 300S-14ISK 14.0英寸笔记本 银色 80Q40004CD, 第六代Skylake智能英特尔® 酷睿™ i5 处理器,i5-6200U,2.3GHz,2.8GHz,Windows 10 家庭中文版,14.0英寸,1366x768,高清屏幕,4GB,DDR3L,,机械硬盘,500GB,独立显卡, NVIDIA Geforce 920M,2GB,DDR3L,无光驱,有,有,HDMI,,,,有,,,,,"['//p1.lefile.cn/product/adminweb/2016/05/19/GfQL44HKexLKu4vcgc9EAn7n6-7203.w84.jpg', '//p2.lefile.cn/product/adminweb/2016/05/19/QnBWijlhL9YWARRJDozJRXv0e-4223.w84.jpg', '//p4.lefile.cn/product/adminweb/2016/05/19/wrguDbXNPnzIdpM07AiSCzTyo-4305.w84.jpg', '//p4.lefile.cn/product/adminweb/2016/05/19/gSYxttEc21jWT7X8zGeS9sktQ-4797.w84.jpg', '//p3.lefile.cn/product/adminweb/2016/05/19/eeH0e40q40YueeFq3P8cHHC6X-4865.w84.jpg', '//p4.lefile.cn/product/adminweb/2017/05/17/h0byOmKQdQ2OZL29KW2QxtG8c-6646.w84.jpg']",,,有,,,,,,,,,,,,,,,,,,,,,,,,,30万像素,,,,,
YOGA 5 Pro-13IKB（YOGA 910）13.9英寸触控笔记本 银色 80VF00M5CD,第七代Kabylake智能英特尔® 酷睿™ i7 处理器,i7-7500U,2.7 GHz,3.5 GHz,Windows 10 家庭中文版,13.9英寸,1920x1080,三边窄边框全高清IPS触控屏,8GB,DDR4,,SSD固态硬盘,512GB,集成显卡,,,,无光驱,,,,,,,有,720p HD 摄像头,背光键盘,厚度14.3mm,正版office家庭和学生版2016,"['//p4.lefile.cn/product/adminweb/2016/10/21/erBlceNrvSOjzBR5Uy2kmmldm-5074.w84.jpg', '//p3.lefile.cn/product/adminweb/2016/10/21/DHOw6WipJUVTL0AdtqME3Ta08-9355.w84.jpg', '//p4.lefile.cn/product/adminweb/2016/10/21/sXVPEuboqWFKBgjteK1pCmeHC-3802.w84.jpg', '//p3.lefile.cn/product/adminweb/2016/10/21/aWFrjPfsFUuQ9xaFCtdMgsCuw-7988.w84.jpg', '//p3.lefile.cn/product/adminweb/2016/10/21/iwSDqJnkSnXMV39KyzYjKPsgu-1914.w84.jpg', '//p1.lefile.cn/product/adminweb/2016/11/10/Pw6b1eP3y78quTC4ZbHfxHJRW-8217.w84.jpg', '//p1.lefile.cn/product/adminweb/2016/11/10/0mf5vW7D4kJCmr8u0smH8C2eM-8307.w84.jpg']",78Wh,1.38Kg,,100-240V自适应交流电源适配器,,双核,16:9,,,,,,YOGA910-13IKB,,,,,,,,,有,,,,,,,支持,,,,
YOGA 720-12IKB 12.5英寸触控笔记本 傲娇银 81B5005JCD, 第七代Kabylake智能英特尔® 酷睿™ i5 处理器,i5-7200U,2.5 GHz,3.1 GHz,Windows 10 家庭中文版,12.5英寸,1920x1080,FHD全高清屏幕,8GB,DDR4,,SSD固态硬盘,256GB,集成显卡,,,,无光驱,1个,,,耳机、麦克风二合一接口,,有,1*1 AC无线局域网卡,720p HD 摄像头,背光键盘,293*203.4*15.75mm,正版office家庭和学生版2016,"['//p2.lefile.cn/product/adminweb/2017/10/25/rmoKFNXJ6u3KWwSWROQB21KFP-0614.w84.jpg', '//p4.lefile.cn/product/adminweb/2017/10/25/1l6KHHuAkZiwotBhp8ueximlx-0731.w84.jpg', '//p3.lefile.cn/product/adminweb/2017/10/25/cqCgliwmtHu7oLlROkutR23AT-0737.w84.jpg', '//p2.lefile.cn/product/adminweb/2017/10/25/NN9HWNrDdKUfhBc8d2YVbxAL5-1080.w84.jpg', '//p3.lefile.cn/product/adminweb/2017/10/25/tSFLRg70Qoekg4aZAp5IQ6GWz-1113.w84.jpg', '//p2.lefile.cn/product/adminweb/2017/10/24/ZT5SYfwwi84ILJrs6RESttFvy-1733.w84.jpg']",36Wh,1.18kg,BT4.1,100-240V自适应交流电源适配器,,,,,,,,,,,,,,,,,,,,,,,,,支持,,,,
YOGA 6 Pro-13IKB（YOGA 920）13.9英寸触控笔记本 晨曦金  80Y7002DCD,第八代Kabylake智能英特尔® 酷睿™ i7 处理器,i7-8550U,1.8 GHz,4.0 GHz,Windows 10 家庭版,13.9英寸,3840x2160,UHD IPS屏幕,16GB,DDR4,,SSD固态硬盘,1TB,集成显卡,,,,无光驱,1个,,,耳机、麦克风二合一接口,,,有,,背光键盘,323x223.5x13.95mm,正版office家庭和学生版2016,"['//p1.lefile.cn/product/adminweb/2017/10/24/Khy8HbHEagjmGxbrGbxlFVcUD-3656.w84.jpg', '//p1.lefile.cn/product/adminweb/2017/10/24/zPFJ6LjLifwgMJTnV80ng2owK-3721.w84.jpg', '//p2.lefile.cn/product/adminweb/2017/10/24/BiPwOrBpr65HFlH1HDGzRBWwe-3734.w84.jpg', '//p2.lefile.cn/product/adminweb/2017/10/24/3v1wNLzJIbA2E1ISVBmx10eDR-4161.w84.jpg', '//p3.lefile.cn/product/adminweb/2017/10/24/m037dUmKGZmQPSpOUqCQnrAou-4194.w84.jpg', '//p3.lefile.cn/product/adminweb/2017/10/24/qPWZjC5YkXibVkJYdVTcIjgoJ-1808.w84.jpg']",,1.37kg,,100-240V自适应交流电源适配器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ideapad 720S-13ARR 13.3英寸笔记本 银色 O2O_81BR0013CD,AMD四核处理器,AMD Ryzen 5 2500U,2.0 Ghz,3.6 Ghz,Windows 10 家庭中文版,13.3英寸,1920x1080,全高清IPS屏幕,8GB,DDR4,,SSD固态硬盘,256GB,集成显卡,,,,无光驱,2个,,,耳机、麦克风二合一接口,,有,有,720p HD 摄像头,,305.9x213.82x13.6mm,正版office家庭和学生版2016,"['//p3.lefile.cn/product/adminweb/2018/01/05/WIVlMfkGcW0j75Rj2QLAyKIMs-1465.w84.jpg', '//p1.lefile.cn/product/adminweb/2018/01/05/QhJzccVF9cIe29KMZFna8Wk2n-5225.w84.jpg', '//p2.lefile.cn/product/adminweb/2018/01/05/L8YCy9tNk7nCH1pJlsTBBPXEQ-9170.w84.jpg', '//p3.lefile.cn/product/adminweb/2018/01/05/3vwGZ6zo7XRiiuYdkaaSEAIr8-9173.w84.jpg', '//p4.lefile.cn/product/adminweb/2018/01/05/Mlgb9V7CidqjMct2zZNzceidI-9203.w84.jpg', '//p1.lefile.cn/product/adminweb/2018/01/05/qro83M5UuKQ2j1flWtVsInhaX-6638.w84.jpg']",48.0Whr,1.1Kg,,100-240V自适应交流电源适配器,,,16:9,,,,,,,,,,,,,,,,,,,,,,,,,,
ThinkPad T470p 笔记本电脑 JS_20J6A019CD,第七代Kabylake智能英特尔® 酷睿™ i7 处理器,i7-7700HQ,2.8GHz,3.8GHz, Windows 10 家庭版 (联想推荐使用Windows 10 专业版),14.0英寸,1920x1080,IPS FHD LED背光显示屏,8GB,DDR4,2400Mhz,机械硬盘,500GB,独立显卡, NVIDIA GeForce 940MX,2GB,,无光驱,3个,,HDMI,耳机、麦克风二合一接口,4合1读卡器,,Intel 8265AC,720p HD 摄像头,背光键盘,,正版office家庭和学生版2016,"['//p1.lefile.cn/product/adminweb/2018/03/21/EgBcBAAPIpQf2aDqHwPrYDVSi-5163.w84.jpg', '//p4.lefile.cn/product/adminweb/2018/03/21/cISrYPEwzaHws1z60ZM0Of7kZ-6404.w84.jpg', '//p4.lefile.cn/product/adminweb/2018/03/21/AcxnTYOJOLXLZzGAkvOxRGjuF-5025.w84.jpg', '//p2.lefile.cn/product/adminweb/2018/03/21/P7JlXdMgd6CqBqElkrWqupKRG-0611.w84.jpg', '//p1.lefile.cn/product/adminweb/2018/03/21/MN6fze6EfieRCvMKxLnc8z1ed-9512.w84.jpg', '//p2.lefile.cn/product/adminweb/2018/03/21/beeAeDMBU0ee0SuEoGBdOoTmy-9908.w84.jpg']",6芯,,BT4.1,,黑色,四核,16:9,1个,杜比先进音频,内置扬声器,内置麦克风,多点触摸板 Trackpoint指点杆,,,,,,7200rpm,6MB,,有,有,全国联保，享受三包服务,1年,1年部件和人工 ，客户送修,2,玻璃纤维混合材料,,不支持,,具体时间视使用环境而定,玻璃纤维混合材料,
ThinkPad T470p 笔记本电脑 JS_20J6A012CD, 第七代Kabylake智能英特尔® 酷睿™ i5 处理器,i5-7300HQ,2.5GHz,3.5GHz, Windows 10 家庭版 (联想推荐使用Windows 10 专业版),14.0英寸,1920x1080,IPS FHD LED背光显示屏,8GB,DDR4,2400Mhz,机械硬盘,500GB,独立显卡, NVIDIA GeForce 940MX,2GB,,无光驱,3个,,HDMI,耳机、麦克风二合一接口,4合1读卡器,,Intel 8265AC,720p HD 摄像头,背光键盘,,正版office家庭和学生版2016,"['//p3.lefile.cn/product/adminweb/2018/04/04/OkIF62gz1TKDiRl40UMJMZfIb-3594.w84.jpg', '//p1.lefile.cn/product/adminweb/2018/04/04/dzncs4wtwpxA7uJ73mzveCL5N-7732.w84.jpg', '//p3.lefile.cn/product/adminweb/2018/04/04/suOkcvJ5JyVZysriXz3mOTz4M-1633.w84.jpg', '//p1.lefile.cn/product/adminweb/2018/04/04/sdHbhNpByPdSvI5zH6Hj5EAAb-5035.w84.jpg', '//p3.lefile.cn/product/adminweb/2018/04/04/8cTbTrOC1qcYacVpKfSRI3mvi-8735.w84.jpg', '//p2.lefile.cn/product/adminweb/2018/04/04/opkYbHZ5CLLjgTIIMz65C8QFF-7314.w84.jpg']",47Whr,,BT4.1,,黑色,四核,16:9,1个,杜比先进音频,内置扬声器,内置麦克风,多点触摸板 Trackpoint指点杆,,,,有,,7200rpm,6MB,,有,有,全国联保，享受三包服务,1年,1年部件和人工 ，客户送修,2,玻璃纤维混合材料,,不支持,,具体时间视使用环境而定,玻璃纤维混合材料,
ThinkPad T470p 笔记本电脑 JS_20J6A013CD, 第七代Kabylake智能英特尔® 酷睿™ i5 处理器,i5-7300HQ, 2.5GHz,3.5GHz, Windows 10 家庭版 (联想推荐使用Windows 10 专业版),14.0英寸,1920x1080,IPS FHD LED背光显示屏,8GB,DDR4,2400Mhz,机械硬盘+固态硬盘,500GB+128GB SSD,独立显卡, NVIDIA GeForce 940MX,2GB,,无光驱,3个,,HDMI,耳机、麦克风二合一接口,4合1读卡器,,Intel 8265AC,720p HD 摄像头,背光键盘,,正版office家庭和学生版2016,"['//p1.lefile.cn/product/adminweb/2018/04/04/6dQigVxOm7QIQfdzC8xm5dSRH-3541.w84.jpg', '//p4.lefile.cn/product/adminweb/2018/04/04/3otE1W7DcEndwwhqjIleoA4kL-8385.w84.jpg', '//p1.lefile.cn/product/adminweb/2018/04/04/7fzk287HgmjzZTH4zcqCLP6Vd-2111.w84.jpg', '//p4.lefile.cn/product/adminweb/2018/04/04/PZ8ZZ8bKJ1k07uwAvjouooGOK-5210.w84.jpg', '//p3.lefile.cn/product/adminweb/2018/04/04/lsVc0ypyF0pqdt6RB2rIBSx06-8599.w84.jpg', '//p4.lefile.cn/product/adminweb/2018/04/04/QiZmSXGKSRW8ye26c4RaveqOH-1966.w84.jpg']",47Whr,,BT4.1,,黑色,四核,16:9,1个,杜比先进音频,内置扬声器,内置麦克风,多点触摸板 Trackpoint指点杆,,,,,,7200rpm,6MB,,有,有,全国联保，享受三包服务,1年,1年部件和人工 ，客户送修,2,玻璃纤维混合材料,,不支持,,具体时间视使用环境而定,玻璃纤维混合材料,
ThinkPad E580 笔记本电脑 20KS0028CD,第八代Kabylake智能英特尔® 酷睿™ i5 处理器,i5-8250U,1.6GHz,3.4GHz, Windows 10 家庭版 (联想推荐使用Windows 10 专业版),15.6英寸,1920x1080,IPS FHD LED背光显示屏,8GB,DDR4,2400Mhz,机械硬盘+固态硬盘,500GB+128GB SSD,独立显卡,AMD Radeon™ RX550,2GB,GDDR5,无光驱,2个,1个,HDMI,耳机、麦克风二合一接口,Micro SD,有,802.11AC,720p HD 摄像头,全尺寸键盘,约19.9 x 369 x 252mm,正版office家庭和学生版2016,"['//p1.lefile.cn/product/adminweb/2018/01/14/UI5wZJsqjcJo7pEB23jjSLpUU-8757.w84.jpg', '//p1.lefile.cn/product/adminweb/2018/01/14/uLrUlym9lYEwMNaMJVEQmIE5m-1070.w84.jpg', '//p2.lefile.cn/product/adminweb/2018/01/14/edJJLtmU8B2JdWDlKlN7FqgLJ-1180.w84.jpg', '//p1.lefile.cn/product/adminweb/2018/01/14/KpbAvL6hHJeBtsFrVmlgNXtpj-0201.w84.jpg', '//p3.lefile.cn/product/adminweb/2018/01/14/XOtu0d9a1gQuV1ceQyrf8MPxi-1029.w84.jpg', '//p3.lefile.cn/product/adminweb/2018/01/15/hAe2Yul89kcsZ2fx9B6Y8MXcl-1347.w84.jpg']",45Wh,约2.12kg,BT4.1,,黑色,四核,16:9,1个,,内置扬声器,内置麦克风,多点触摸板 Trackpoint指点杆,,,,,SATA 串行,7200rpm,6MB,,,,全国联保，享受三包服务,1年,1年部件和人工 ，客户送修,2,金属,,,,,,
ThinkPad E580 笔记本电脑 20KS0027CD,第八代Kabylake智能英特尔® 酷睿™ i5 处理器,i5-8250U,1.6GHz,3.4GHz, Windows 10 家庭版 (联想推荐使用Windows 10 专业版),15.6英寸,1920x1080,IPS FHD LED背光显示屏,8GB,DDR4,2400Mhz,SSD固态硬盘,256GB,独立显卡,AMD Radeon™ RX550,2GB,GDDR5,无光驱,2个,1个,HDMI,耳机、麦克风二合一接口,Micro SD,有,802.11AC,720p HD 摄像头,全尺寸键盘,约19.9 x 369 x 252mm,正版office家庭和学生版2016,"['//p1.lefile.cn/product/adminweb/2018/01/14/UI5wZJsqjcJo7pEB23jjSLpUU-8757.w84.jpg', '//p1.lefile.cn/product/adminweb/2018/01/14/uLrUlym9lYEwMNaMJVEQmIE5m-1070.w84.jpg', '//p2.lefile.cn/product/adminweb/2018/01/14/edJJLtmU8B2JdWDlKlN7FqgLJ-1180.w84.jpg', '//p1.lefile.cn/product/adminweb/2018/01/14/KpbAvL6hHJeBtsFrVmlgNXtpj-0201.w84.jpg', '//p4.lefile.cn/product/adminweb/2018/01/14/XOtu0d9a1gQuV1ceQyrf8MPxi-1029.w84.jpg', '//p1.lefile.cn/product/adminweb/2018/01/15/zDWtsiZr5wcq2eJkI6HwCBQMh-0185.w84.jpg']",45Wh,约2.12kg,BT4.1,,黑色,四核,16:9,1个,,内置扬声器,内置麦克风,多点触摸板 Trackpoint指点杆,,,,,,,6MB,,,,全国联保，享受三包服务,1年,1年部件和人工 ，客户送修,2,金属,,,,,,
ThinkPad E580 笔记本电脑 20KSA002CD,第八代Kabylake智能英特尔® 酷睿™ i5 处理器,i5-8250U,1.6GHz,3.4GHz, Windows 10 家庭版 (联想推荐使用Windows 10 专业版),15.6英寸,1920x1080,IPS FHD LED背光显示屏,8GB,DDR4,2400Mhz,机械硬盘+固态硬盘,1TB+256GB SSD,独立显卡,AMD Radeon™ RX550,2GB,GDDR5,无光驱,2个,1个,HDMI,耳机、麦克风二合一接口,Micro SD,有,802.11AC,720p HD 摄像头,全尺寸键盘,约19.9 x 369 x 252mm,正版office家庭和学生版2016,"['//p3.lefile.cn/product/adminweb/2018/01/14/UI5wZJsqjcJo7pEB23jjSLpUU-8757.w84.jpg', '//p3.lefile.cn/product/adminweb/2018/01/14/uLrUlym9lYEwMNaMJVEQmIE5m-1070.w84.jpg', '//p1.lefile.cn/product/adminweb/2018/01/14/edJJLtmU8B2JdWDlKlN7FqgLJ-1180.w84.jpg', '//p3.lefile.cn/product/adminweb/2018/01/14/KpbAvL6hHJeBtsFrVmlgNXtpj-0201.w84.jpg', '//p4.lefile.cn/product/adminweb/2018/01/14/XOtu0d9a1gQuV1ceQyrf8MPxi-1029.w84.jpg', '//p3.lefile.cn/product/adminweb/2018/01/15/cOMuj9QxRIJYXDILNWFzDLIKt-0243.w84.jpg']",45Wh,约2.12kg,BT4.1,,黑色,四核,16:9,1个,,内置扬声器,内置麦克风,多点触摸板 Trackpoint指点杆,,,,,SATA 串行, 5400rpm,6MB,,,,全国联保，享受三包服务,1年,1年部件和人工 ，客户送修,2,金属,,,,,,
ThinkPad T480s 笔记本电脑 JS_20L7A00TCD,第八代Kabylake智能英特尔® 酷睿™ i7 处理器,i7-8550U,1.8GHz,4.0GHz, Windows 10 家庭版 (联想推荐使用Windows 10 专业版),14.0英寸,1920x1080,IPS FHD LED背光显示屏,8GB,DDR4,2400Mhz,SSD固态硬盘,512GB,独立显卡,NVIDIA GeForce MX150,2GB,,无光驱,2个,,HDMI,耳机、麦克风二合一接口,4合1读卡器,2个,Intel 8265AC,IR 摄像头,背光键盘,,正版office家庭和学生版2016,"['//p4.lefile.cn/product/adminweb/2018/04/20/BlahPQRO60ERHYjdG4qL87j2i-5641.w84.jpg', '//p3.lefile.cn/product/adminweb/2018/04/20/O3TROOfkDp0Di4B4NHUxCEXS2-0091.w84.jpg', '//p4.lefile.cn/product/adminweb/2018/04/20/ohGZ0YyzcM4ytcAGzbPTXdkX5-6596.w84.jpg', '//p1.lefile.cn/product/adminweb/2018/04/20/qzpXKKKOTDQdwbSV2jyUIV8JJ-0753.w84.jpg', '//p2.lefile.cn/product/adminweb/2018/04/20/wLrtekrLVQvHtSH4mpzXXo4XP-5616.w84.jpg', '//p1.lefile.cn/product/adminweb/2018/04/20/0nPn0Olh4D6V8HiSVVluapL3Q-0166.w84.jpg']",57Wh,,BT4.1,65W,黑色,四核,16:9,1个,杜比先进音频,内置扬声器,内置麦克风,多点触摸板 Trackpoint指点杆,,,,,,,8MB,,有,有,全国联保，享受三包服务,1年,1年部件和人工 ，客户送修,2,碳纤维材质,,不支持,,具体时间视使用环境而定,,8GB
ThinkPad T570 笔记本电脑 JS_20H9003ACD,第七代Kabylake智能英特尔® 酷睿™ i7 处理器,i7-7500U,2.7GHz,3.5GHz, Windows 10 家庭版 (联想推荐使用Windows 10 专业版),15.6英寸,1920x1080,IPS FHD LED背光显示屏,8GB,DDR4,2133MHz,SSD固态硬盘,256GB,独立显卡, NVIDIA GeForce 940MX,2GB,,无光驱,3个,,VGA x 1/ HDMI x 1,耳机、麦克风二合一接口,4合1读卡器,,Intel 8265AC,720p HD 摄像头,全尺寸键盘,,正版office家庭和学生版2016,"['//p2.lefile.cn/product/adminweb/2018/04/04/6dwjT3YwLdYPJHaDDwUix7t8U-0900.w84.jpg', '//p2.lefile.cn/product/adminweb/2018/04/04/0n1p5zEiJmEWmRgmFbw7MsLS1-4904.w84.jpg', '//p1.lefile.cn/product/adminweb/2018/04/04/SHtcm4YlBZirtEtkkCc0uqFva-8199.w84.jpg', '//p2.lefile.cn/product/adminweb/2018/04/04/VHpsMrCtY3jyovzStXqiCoTEK-2581.w84.jpg', '//p2.lefile.cn/product/adminweb/2018/04/04/MSLBmifKvBhlQRKTmS60iRlfG-5619.w84.jpg', '//p4.lefile.cn/product/adminweb/2018/04/04/CqUKmHw1PxmA4jCTqHeVjGoMe-9564.w84.jpg', '//p3.lefile.cn/product/adminweb/2018/04/04/eQOmIJHOse4TDP2C3IqKOzlxW-3679.w84.jpg']",32Whr+24Whr,,有,,黑色,双核,16:9,1个,杜比先进音频,内置扬声器,内置麦克风,多点触摸板 Trackpoint指点杆,,,,,,,4MB,,有,有,全国联保，享受三包服务,1年,1年部件和人工 ，客户送修,2,玻璃纤维混合材料,,不支持,,具体时间视使用环境而定,玻璃纤维混合材料,
